timestamp,author,time_in_seconds,message,time_text,badges,video_offset_time_msec,author_id
1597882420541817,Chris,12647,get athletic,3:30:47,New member,12647877,UCBJx0Lkrd8CGLNGzTnDCVoA
1597882421818692,Chris Carosi,12649,true true 4 v 3,3:30:49,New member,12649154,UCBrSDnwMQHkDCMOcW-yJDFQ
1597882422270431,Mason Williams,12649,GREAT WORK ALEX,3:30:49,New member,12649606,UCc_m5-YuTfC4PtQqVoHeDTA
1597882422509126,Dvin Zargarian,12649,WHAT IS THIIISS,3:30:49,New member,12649845,UCbjsVMS9PZ51J6u1FP6z6dA
1597882423768497,Exalted Reaver,12651,OOOOOH Baby Baby Baby,3:30:51,New member,12651090,UCwcItVm12Xv_wukXxnbQAjA
1597882425709047,Fumbi B,12653,doc serious now,3:30:53,New member,12653031,UCF4mBbJSzMjCpuM5xWhLgTQ
1597882426917723,FateZeroCool,12654,CONTENT,3:30:54,New member,12654118,UCwd9osBrOI9hsK-H-qcpWTQ
1597882427159734,Killpopkulture,12654,lets get twisted Doc,3:30:54,New member,12654360,UC9GgEZH2VZKpVqbNNI-1BfA
1597882427406216,Trenton Bruner,12654,tiger visi9n,3:30:54,New member,12654607,UCIGmk8XwAErHd9gcFYFH2hQ
1597882427810445,Nicholas Bleker,12655,It’s adorable when randoms he plays with do his yayaya thing,3:30:55,New member,12655011,UCcrsr1qHr1TQsFssucxPSfQ
1597882430552724,kingjappyjoe420,12657,LOOL,3:30:57,New member,12657814,UCli7CSJDZHmmQe4Pdk1ZhIg
1597882430555490,FateZeroCool,12657,CONTENT,3:30:57,New member,12657816,UCwd9osBrOI9hsK-H-qcpWTQ
1597882431394528,Enzo Tuason,12658,Doc Reaper Mode,3:30:58,New member,12658655,UCo2jesv2CZUp1XXJ-eV6qqQ
1597882432232087,Citrine Vibes,12659,Steroids ninja roll,3:30:59,New member,12659493,UCBms_GRveTMQUQ0a0wVau0w
1597882432981405,Mayo,12660,noice,3:31:00,New member,12660276,UCf4AcloR8An12RbHD4MdrXg
1597882435712378,FateZeroCool,12663,LETS GO ALEXXXXXXXXXXXXX,3:31:03,New member,12663029,UCwd9osBrOI9hsK-H-qcpWTQ
1597882435759034,Tenic,12663,I love your audience,3:31:03,New member,12663075,UCDhW82q8VaJB0V4kPaYLqzQ
1597882435893822,MrMercury,12663,snap em up doc,3:31:03,New member,12663210,UC5732-iiJOWzZqiNF3QYtew
1597882441065578,Michael Saindon,12668,love this yame,3:31:08,New member,12668398,UC6eXfPi6M5w0ka-Qq-YGpfg
1597882441291756,Frank Lynch,12668,can only get 480p on mobile guys????,3:31:08,New member,12668624,UCibEHJpFXS7d0m40y_EwWxA
1597882441720636,Nick Graham,12669,Feeling it,3:31:09,New member,12669053,UCId7vdXU6RtzDv0doEkTBPQ
1597882442564991,FateZeroCool,12669,ALEXXXXXXXX,3:31:09,New member,12669897,UCwd9osBrOI9hsK-H-qcpWTQ
1597882442951274,Exalted Reaver,12670,BOOOOOOOM,3:31:10,New member,12670283,UCwcItVm12Xv_wukXxnbQAjA
1597882442990290,Dvin Zargarian,12670,Content machine,3:31:10,New member,12670322,UCbjsVMS9PZ51J6u1FP6z6dA
1597882444574448,Feddy,12671,docWARCRY,3:31:11,New member,12671892,UCExvNRWSgUaYs9lbqXLKDCw
1597882444884953,Dvin Zargarian,12672,Daily,3:31:12,New member,12672203,UCbjsVMS9PZ51J6u1FP6z6dA
1597882445154415,sc0pe,12672,BETTER,3:31:12,New member,12672472,UCCQQG6rDIdQA9_kPfmARNNA
1597882446115960,Dvin Zargarian,12673,Baby,3:31:13,New member,12673434,UCbjsVMS9PZ51J6u1FP6z6dA
1597882448304628,Dvin Zargarian,12675,DACTA,3:31:15,New member,12675629,UCbjsVMS9PZ51J6u1FP6z6dA
1597882448664053,DNC STU,12675,better,3:31:15,New member,12675989,UCJ38dJUgcsWx57JOj1zvSUw
1597882449361771,WesleySnipes,12676,this guys a maniac,3:31:16,New member,12676687,UC2Z9A0gnPJS7gfPAv4tmC6g
1597882449824654,Madzkl,12677,i dont think its like that,3:31:17,New member,12677149,UCaj-NKNN-KhAR1mk2mJ004w
1597882451305476,Silvertrooper,12678,joined the champions club at last a no brainer the doc inspires me so much glad your back,3:31:18,New member,12678564,UC_QvjTezVoNZm7V6UpjrGvA
1597882454694340,Mayo,12682,Doc is too OP lol,3:31:22,New member,12682046,UCf4AcloR8An12RbHD4MdrXg
1597882455093355,Madzkl,12682,just tiny bullets,3:31:22,New member,12682445,UCaj-NKNN-KhAR1mk2mJ004w
1597882455373941,Champions Club Mail Carrier,12682,LFG,3:31:22,New member,12682726,UCIjgqpDV3TLfcjlFDDpKNbg
1597882455453945,Citrine Vibes,12682,Mid air death,3:31:22,New member,12682806,UCBms_GRveTMQUQ0a0wVau0w
1597882458113057,FateZeroCool,12685,YOUR FIRED ALEX,3:31:25,New member,12685275,UCwd9osBrOI9hsK-H-qcpWTQ
1597882458399040,Mason Williams,12685,This game has something going,3:31:25,New member,12685561,UCc_m5-YuTfC4PtQqVoHeDTA
1597882458940053,Steve M,12686,we can go deeper,3:31:26,New member,12686102,UCJ7j1njpoOosAH4yitRpMRQ
1597882459858623,marshallbenn33,12687,lol,3:31:27,New member,12687215,UCwkCMmIbUZ2AL1-K62HfSqg
1597882460719473,Killpopkulture,12688,were on a whole other level baby,3:31:28,New member,12688075,UC9GgEZH2VZKpVqbNNI-1BfA
1597882461863868,PHILMSTOCK,12689,Female characters are much better,3:31:29,New member,12689184,UCrPaTQO2eqJDrwvdrGetfsQ
1597882462361798,Ewan,12689,nononononnono,3:31:29,New member,12689682,UCwBMIgDbKytz52ECUPPG-Zg
1597882462939628,p4ndepravity,12690,is this game mucsic?,3:31:30,New member,12690260,UCe--sbjF6Mm--84-bSjey6w
1597882463302377,Darkreign301,12690,doc smash,3:31:30,New member,12690623,UCpO9QNlA4_JUOumaZYhhf3g
1597882463451121,Cannibal Turk,12690,Doc ULT Doc ULT,3:31:30,New member,12690772,UCyNGFWk3WKinb90FC5VRDIA
1597882463537689,CoolSilver,12690,WTH,3:31:30,New member,12690858,UCkhNm3uyIOucYsHzUfelnWA
1597882463564529,Baron,12690,WAY BETTER,3:31:30,New member,12690885,UCGmsY8ir6RaRfs-c2w8WnaQ
1597882463819590,Eric P,12691,@DrDisRespect I do miss me some of those Apex transitions you have for sure!,3:31:31,New member,12691140,UCDZwo64r93q7iU8wcbwgpgQ
1597882464680351,You know It be true,12692,Danggggg,3:31:32,New member,12692061,UC9qJUkT-BhnJ5UZR-iw4-iQ
1597882465109844,Citrine Vibes,12692,Uninstalled,3:31:32,New member,12692490,UCBms_GRveTMQUQ0a0wVau0w
1597882465701760,OSHY,12693,SIMPLY BETTER,3:31:33,New member,12693082,UCD91GqoV2S5UYt6j1BBAoUw
1597882466840276,Tiberious_Of_Elona,12694,LOL,3:31:34,New member,12694189,UCM8flupBZ8pvphJipwyDBug
1597882467072847,johana,12694,"cmon, doc.",3:31:34,New member,12694421,UCBjKzbnpTxd40rT9Lmqe9xA
1597882467502791,Integritee007,12694,you gotta roll doc roll,3:31:34,New member,12694851,UCUt0yc1oNHTNcE3q_C3_A1A
1597882469762180,FateZeroCool,12697,GET UP AND GET OUT,3:31:37,New member,12697125,UCwd9osBrOI9hsK-H-qcpWTQ
1597882469802636,Mason Williams,12697,The guns hit so nice,3:31:37,New member,12697166,UCc_m5-YuTfC4PtQqVoHeDTA
1597882470233426,ooglaboogla555,12697,LOOOOL THAT AIM,3:31:37,New member,12697596,UCYo2dpv01E_hzla6NtK1Xrg
1597882470739356,Kraytos X,12698,Pew pew,3:31:38,New member,12698102,UCE05qGj0Xkv8ISIV0ZAJH9w
1597882471886126,Exalted Reaver,12699,ALLEEEEEEEEX,3:31:39,New member,12699184,UCwcItVm12Xv_wukXxnbQAjA
1597882473098326,IcyVenom,12700,SPEED,3:31:40,New member,12700396,UCaTMPi2rX39zshnwyKX5Sdw
1597882473990070,Mason Williams,12701,WOAH,3:31:41,New member,12701313,UCc_m5-YuTfC4PtQqVoHeDTA
1597882474618747,Feddy,12701,Hasn't even hit his ultimate form yet,3:31:41,New member,12701941,UCExvNRWSgUaYs9lbqXLKDCw
1597882475028903,JeeFour,12702,??????????,3:31:42,New member,12702351,UCUuiS614yyYtUI3fQ8RDFGA
1597882475373578,Frank Buring,12702,got fortnited,3:31:42,New member,12702696,UCq2KXWAcXjVisIUGhxQu5-w
1597882476493072,nYx,12703,LOL,3:31:43,New member,12703844,UCkn59EWnguWDeMMOp9tyCgQ
1597882476497681,Mason Williams,12703,OWAH WOAH,3:31:43,New member,12703848,UCc_m5-YuTfC4PtQqVoHeDTA
1597882477203509,Bullfrog,12704,“It’s outta my hands....it’s outta myyyy hands” ....man that song really got me feelin some type of way 😭 Doc nailed it,3:31:44,New member,12704554,UCabui5aQ4lIO5ZzqyXODfmw
1597882477363836,HitmanR15,12704,"Doc run Lancer she is OP, reloads when you dodge roll",3:31:44,New member,12704714,UC2UXVsgbAzIm5IhHFcezxfQ
1597882477587374,ilq,12704,aim,3:31:44,New member,12704938,UCEC6pT8OYN7oxfIjjlrSI0w
1597882479325817,BrokeProphet,12706,bad aim on that dude,3:31:46,New member,12706628,UCiv8r8-z76ubhzAs_A4LV_A
1597882479584354,Mr Mando,12706,disrespect airlines calling,3:31:46,New member,12706886,UChhEI9UXGN8Yg3er-fMUdbQ
1597882479879565,R3ZZYY,12707,no,3:31:47,New member,12707182,UCw9v3O3pDYNac5dLpXlECtw
1597882481463039,Killpopkulture,12708,Delete this game,3:31:48,New member,12708801,UC9GgEZH2VZKpVqbNNI-1BfA
1597882481741622,Mason Williams,12709,calm down with the aim son,3:31:49,New member,12709080,UCc_m5-YuTfC4PtQqVoHeDTA
1597882481751575,CoolSilver,12709,Levels are high,3:31:49,New member,12709089,UCkhNm3uyIOucYsHzUfelnWA
1597882482037560,WesleySnipes,12709,:_Giggles:,3:31:49,New member,12709375,UC2Z9A0gnPJS7gfPAv4tmC6g
1597882482090525,Chase Metzger,12709,HAHAHAHAHAHA,3:31:49,New member,12709428,UCpxCpfTczwqk3XLOJuEhJYQ
1597882483350356,OSHY,12710,ALEX,3:31:50,New member,12710688,UCD91GqoV2S5UYt6j1BBAoUw
1597882483751649,Mayo,12711,pew pew pew,3:31:51,New member,12711108,UCf4AcloR8An12RbHD4MdrXg
1597882484565133,Kevin,12711,that aim,3:31:51,New member,12711922,UCTURTyaUx7OsXKA1N2g_itw
1597882485314668,Mason Williams,12712,JESUS,3:31:52,New member,12712671,UCc_m5-YuTfC4PtQqVoHeDTA
1597882486768704,Dan The Body,12714,that aim tho yikes,3:31:54,New member,12714133,UCOv_aPmVv7_oCMH8dxkHt0Q
1597882487516863,ghstbstr,12714,Doc needs some more ice cream. lol,3:31:54,New member,12714882,UCq11f-W0blwuXp7H71N7eqw
1597882488468169,Auston the goat whisperer,12715,roll bruh,3:31:55,New member,12715833,UC_7RlwLis6__xhWyGv5hGqw
1597882490096511,Prism _,12717,This game looks awesome,3:31:57,New member,12717404,UCtf3xFitSiL2IYTpbBF_wzw
1597882490560788,SingStream,12717,pepegaaim,3:31:57,New member,12717868,UCeZrNwx5cVoUFQygjDuiYUA
