author_id,time_in_seconds,timestamp,badges,video_offset_time_msec,time_text,author,message
UCc4KFrcicGcy0vp_JhXhhCA,0,1597516925073495,,0,-0:00,he discovered first fun,Techno Support
UCnUvceNlV-aDPDKeUw6yRXQ,0,1597516925082631,,0,-0:00,Karimu izerimana,17 min
UC4wzcM0MeT2pnK1EYX8B8nw,2,1597516926528738,,2664,0:02,thet 439,Phil is making drugs
UC0V4DwbE-6MHIEtlGt65bNA,2,1597516926731740,,2867,0:02,Diego Zucca,pog
UCjUDpfCh6Zj8qxdhOTX7bAg,3,1597516927133463,,3269,0:03,Lucky Star,Can't wait to see everyone getting tilted cuz techno and dream are in the same team
UCd-IpFTPLzOmbNBoGMYp5BA,3,1597516927298599,,3434,0:03,Scarlett,hiii got ur snacks??
UCvxZI-b4csQAat7JEHj9z6w,3,1597516927416427,,3552,0:03,bvhdm,❤ T E C H N O D R E A M 💚
UCpeP17crrTkm9QC4pb-fmQw,4,1597516927871225,,4006,0:04,poloniumdrops,❤TECHNOSUPPORT❤
UCjdoU_WJacCRQOEGyH4Nw-A,4,1597516928090229,,4225,0:04,Meliodas Lostvayne,set reminder people
UCPkJyA9dUzkx_f53pxvBQBw,4,1597516928386434,,4522,0:04,Océane Tir,PINK PARROTS SUPPORT 🌸🐤
UCZdbj9bJDSJfH4l1O33VMvA,6,1597516928583110,,6217,0:06,cohen teschke,i think they put dream and techno on the same team on purpose. nyway🐷❤️️
UCSrJhOkdN1c3GnGTdGeSsLQ,6,1597516928897817,New member,6531,0:06,jeuc,❤ TECHNO SUPPORT ❤
UCaLZmOcmLX3Eu3b3vNskjyQ,7,1597516929416194,,7050,0:07,spacie,POGGERS
UCzWF8LYLvVK3wUOe2XJCIWQ,7,1597516929431823,Member (3 months),7065,0:07,se7en,:_TechnoStare:what is dis emote
UCa305YdIJUreACCUhlPV11Q,7,1597516929626424,,7260,0:07,First Sympton,❤ TECHNO SUPPORT ❤
UCJ-B8TdVubINkAnTzYq32ig,7,1597516929717504,,7351,0:07,May,dream streaming as well
UCWoJVcJNsJ_YRxHqC3J15YQ,7,1597516929868870,New member,7502,0:07,Jare Bear,BLOOD FOR THE BLOOD GOD
UCA9ix6wGwbhZdPnIkDkWfng,7,1597516930199142,,7833,0:07,Brix Fountain,Techno blade
UCWyzqYlwTltaqDK6mrzUiGQ,7,1597516930342714,,7976,0:07,Ђорђе Ивановић,TECHNOSUPPORT
UCxj44V324tWH7e4cH9VRFGw,7,1597516930359543,,7993,0:07,Rose,ok we all know who is going to win
UCtA8-GWaMilSEAWZGtY_5_g,9,1597516931114143,,9801,0:09,Don't Sub To Me I am Useless,unpopular opinion
UCH20mBeeR7C-pFHnsgf-RiA,10,1597516931327344,,10014,0:10,Onion Picker,Shrek
UCjyEWBzegYgWaQBm9w2cF6Q,10,1597516931459358,,10146,0:10,Lubna Alhakeem,i think the team will win
UCfi0PX3E3p58NkUlIpRC2JQ,10,1597516931824243,,10511,0:10,That_Anime189,❤️💗TECHNOSUPPORT💗❤️
UCJ05-IH1TPL_i0cwzwm2TrA,11,1597516933267969,,11937,0:11,Calin Mihai Chiperi,❤️ TECHNOSUPPORT ❤️
UConRaKo1obOLvqwKtippZiA,12,1597516934023008,,12692,0:12,Invisible,POGGERS
UCWVOMHYgCnOF03Y2XlGWFuA,13,1597516934451297,,13120,0:13,ß,:_TECHNOSUPPORT:
UCsh3a0K0veTOLW8W8Z68cIg,13,1597516934824747,,13507,0:13,Baconnwaffles0,Dreams thumbnail is hilarious
UCvRoxBZX8OeYG_amYev7aZQ,14,1597516935341590,,14024,0:14,Hayase Sama,TECHNO IS STARTING
UCvZs1cXk0GrNsGBx99gMjGQ,14,1597516935549437,,14232,0:14,Toe Aung,IM WAITING MY HEART ABOUT TO BURST
UCbiFzuGTU7BeVx-jYJjKKYw,14,1597516935635558,Member (3 months),14318,0:14,adult man,:_TechnoHeart::_TechnoHeart::_TechnoHeart:
UCjWcyLpuHdsb1DuNsnTSBAQ,14,1597516936141690,,14824,0:14,Oblivious Dreamor,notfound is practicing
