author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
Silvia Provvido,UCea_Drhg17-3zwEt3gXONCg,,ciaoooooo,300,5:00,1596107202996674,300319
Skimney_ Pit,UCQrE-6L6npl51IK1xMOQfNQ,,hello world,300,5:00,1596107203081886,300405
MERCY CHEPKOGEI,UCQMQqEvLnrCkrgSqTXkagCA,,let's go to Mars,300,5:00,1596107203521956,300845
大山洋平,UCKw25N2Kh0Tu-3yZzURp9fA,,🤘🤘🤘🤘🤘,301,5:01,1596107203727841,301051
wadan and song love,UCrtU6zJRlsJeqFLrE2j8O_Q,,ooooo,301,5:01,1596107203735273,301058
Bosnia and Herzegovina,UCduJ2Gc-uHRAwdr3y1iyuww,,hi,301,5:01,1596107203957176,301280
Johnathan,UCt6GFl3mly-2vRLp3_97bog,,"@tsieti freaking katiry, hi🙂",302,5:02,1596107205110046,302454
dazhao shi,UC7_IcveZhaK19LKqYAGXX7Q,,你们好,302,5:02,1596107205520500,302864
Gökhan Can Özdemir,UCdSwAHnC0_m9drIYhjLffBg,,hi,302,5:02,1596107205574196,302918
Hatty xd,UCje1Au109rhmzDv-rfCgE0Q,,hy i am from indonesia,303,5:03,1596107206317311,303661
Muhtardegilim,UCmNjMuuyNlZ9OZ1gwPH9mMA,,Hi,303,5:03,1596107206500296,303844
fat boy,UCJXL5CpuoeESWhshD-wKq0g,,hi,303,5:03,1596107206562044,303906
Radioactiveness,UCCRYobWKK-9a7rGQ9JTclog,,Hello,304,5:04,1596107206914976,304259
Profesor Luis,UC166iZmDv33GV3TWSiyACcA,,let's go,304,5:04,1596107206966839,304310
Mohamed Hameed,UCPjHqMsqi_O5mjBeTBSde7w,,hello,305,5:05,1596107207375777,305311
UrSuchASpoon YT,UCUVeKFK6E-dIyzEZVjqIlSw,,#CountdownToMars,305,5:05,1596107207677713,305613
Ryba Venryba,UCb3113XP8_5Ihg7e5WVib-w,,we wish you a pleasent journey!,305,5:05,1596107208011407,305947
Joshua Sumallo,UCGikZTCLPHzk9dzz3O5qfRQ,,:yougotthis:,306,5:06,1596107208119013,306054
Muhammad Shihab Sarar,UCLp7mGDEHyOMWj57Vt9OUGg,,frob bangladesh,306,5:06,1596107208751313,306686
20quid,UCEpjNRnXu01FRT5whbnP9rw,,Woo! Go science!,306,5:06,1596107208911519,306847
Enigma,UCaJRtunH3FPZokPcxIF8NEQ,,Hello Earthlings,306,5:06,1596107208914117,306849
Derp Lover,UCI0biB4sc7umJrAccsN9ryA,,poggers,307,5:07,1596107209908562,307844
ONASU,UC6x3WXy6QFGVaMh4B6zEywA,,wowow,308,5:08,1596107210403121,308338
princess faith amistad,UCl0yPwQcGHBQ4uPwzXJDyxw,,im so exited again:yt:,308,5:08,1596107210826016,308761
Илья Черников,UCA_LLaA5cy6l6AziX-XcwuA,,русские здесь????,309,5:09,1596107211413481,309349
Georges VPVC,UCs7Yiwx2lhDrx3QvqQ6bfwQ,,T- ??,309,5:09,1596107211636952,309572
Pavan Kumar,UCHvdQC_bmleYwE3FxW8S0uQ,,hii,309,5:09,1596107211841668,309777
Driftwood,UCSjOXxZqakabHrW8aey5Q8w,,What an amazing day,311,5:11,1596107214389682,311029
Viktor Imara Madsen,UCPy2mivWey84Rkjo2SRZLOg,,goooooooood luuuuckk perseverance,311,5:11,1596107215173087,311812
mariajo ramirez,UCQLs_zJkuSTq8z-3VtqH0yg,,heyy,312,5:12,1596107215805937,312445
Rose Robles,UCmNKAKb0x2oGc_5ZwM_3kXg,,I wanna be an astronaut,312,5:12,1596107215860829,312500
farleth stefy leandro niño,UCm915f34Qqft5Rhiw0UfD2Q,,Hiiii,312,5:12,1596107216248951,312888
Louise Kilsby,UCgIVZkd--hnZxRmDDuoEi3A,,Hi,313,5:13,1596107216439702,313079
JNK ARmy,UCkP7MQuXQsJeaFlSqjHULAQ,,hello,313,5:13,1596107216660599,313300
ggwpdızz,UCy6m39sA5sIqyWGagAn_qUQ,,TÜRKÜN GÜCÜNÜ GÖRECEKSİNİZ ALLAH EKBER ALLAH EKBER,314,5:14,1596107217678419,314318
Pradeep Singh K,UCsFAq16BdXJa7pHXGs8DrHA,,go nasa,314,5:14,1596107218090553,314730
Sadık Tunç Özdemir,UCcWjPJKqRxaPY2dhQSptLbA,,hello ı'am from turkey,316,5:16,1596107219295365,316800
Indra Yadi,UC1gsBiK6gCv8ljbwoiRhM5w,,hai🖐,316,5:16,1596107219371565,316876
Faraji Suleiman,UCF50sLdH-nsQ2zCnM-7wknQ,,hi from Zanzibar,317,5:17,1596107220062574,317567
Revanth Reddy,UCvcpG0WgjkjlNdZCxApyKbA,,when,318,5:18,1596107221047925,318553
Ahmed Hamada,UCc06iWZA6rcJogHRY3kbUEw,,Yaaaay I have been waiting for a year,318,5:18,1596107221286727,318791
Bell Cranel,UCf05DRclO-WcTseOGjx67rw,,eunch eunch,319,5:19,1596107221909618,319414
Yash Sahu,UCghpuEB-e47OFbqc51GDspA,,all the best USA!!,319,5:19,1596107221964040,319469
。 Bunka,UCLT_pEsQ0klYyLQbA2dWD7w,,hi from Japan!,320,5:20,1596107222616866,320122
Felipe Dias Prado,UCWjbBSzyq5dVbx0tASJazSw,,😎,320,5:20,1596107223412264,320917
Reyniel Congreso,UCumqy5yF7P2d61AixNPuRiQ,,THIS IS ITTTT MY NAMEEE WILL BE GOING INTO MARS OMG!!!!!!,321,5:21,1596107224266909,321447
Noah Elevator7,UCadH0EpkL6lVeTln_Fu073A,,Good luck from ireland,322,5:22,1596107224819731,322000
ViBX,UCfHC-budiwDqGTscEO_689g,,hi,322,5:22,1596107225030587,322211
Human finisher,UCoGTG_jQw622fl5bg3SDSPg,,Indian here!!,322,5:22,1596107225235432,322416
Andre Magalhaes,UCOjVJ408bXxEXt8VK3YWDkg,,"Hi, let´s go to Mars!!!!",323,5:23,1596107226496965,323678
kosar zolfaghary,UCvgAxttPF_3ovRw-axo6Xzg,,Hi,324,5:24,1596107226964361,324145
Syed Rafi uddin,UCnDjrYLRpa9lWh-5uvi-7Jw,,going to mars,325,5:25,1596107228059263,325240
Abbas Al-Mansoory,UCnYRHgwWDEWp2KwwG-X9FKA,,حماسسس,325,5:25,1596107228165654,325346
Jose Rojas,UCkW2MNuDr2tpCupbqY7JFWw,,buen viaje perseverancia e ingenuidad,326,5:26,1596107228539508,326576
Federico Andrés Casado,UC6ODGp-eYnna48ZXjbYYq1w,,Hiii!!!!👋👋,327,5:27,1596107229390545,327427
rekin g.,UC1HHQ2iLROAb4uyy2YXVGFg,,jestem geyem,327,5:27,1596107229727642,327765
Akhil Krishna,UCZ_-G0Yn83xUaCFDLzZqyeA,,happy to hera,328,5:28,1596107229973753,328011
Ucang Satriana,UCzVIB8_xHFTu1WWdIFYmABA,,hello from indonesia,328,5:28,1596107230173437,328210
Jellybeantiger,UC3y1YBRm_XkWp7OhjuX5s-Q,,Have a safe trip Percy.,329,5:29,1596107231319915,329357
Blair Joy Guingguing,UCSOt-z_97zZh7My_CMRVD8Q,,from ph!,329,5:29,1596107231338248,329375
Beyblade mas123,UCU6swf83_Ir4y_78-zveAHg,,From Australia,329,5:29,1596107231406574,329443
