author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
he discovered first fun,UCc4KFrcicGcy0vp_JhXhhCA,,Techno Support,0,-0:00,1597516925073495,0
Karimu izerimana,UCnUvceNlV-aDPDKeUw6yRXQ,,17 min,0,-0:00,1597516925082631,0
Maco Cove,UCOSVhpR_DBxVaxDFS5Rzkcg,,Papa Techno,0,-0:00,1597516925847843,0
thet 439,UC4wzcM0MeT2pnK1EYX8B8nw,,Phil is making drugs,2,0:02,1597516926528738,2664
Diego Zucca,UC0V4DwbE-6MHIEtlGt65bNA,,pog,2,0:02,1597516926731740,2867
Lucky Star,UCjUDpfCh6Zj8qxdhOTX7bAg,,Can't wait to see everyone getting tilted cuz techno and dream are in the same team,3,0:03,1597516927133463,3269
Nitch5es,UCjzFCssjGqmLYiaZrDX-NLg,,blood for the blood,3,0:03,1597516927179587,3315
Scarlett,UCd-IpFTPLzOmbNBoGMYp5BA,,hiii got ur snacks??,3,0:03,1597516927298599,3434
bvhdm,UCvxZI-b4csQAat7JEHj9z6w,,❤ T E C H N O D R E A M 💚,3,0:03,1597516927416427,3552
poloniumdrops,UCpeP17crrTkm9QC4pb-fmQw,,❤TECHNOSUPPORT❤,4,0:04,1597516927871225,4006
SPMU 12,UCEr_0wtvrBZtwf2ESelEH8g,,​❤️TECHNOSUPPORT❤️,4,0:04,1597516928057441,4193
Meliodas Lostvayne,UCjdoU_WJacCRQOEGyH4Nw-A,,set reminder people,4,0:04,1597516928090229,4225
Chicken power,UCcbGM04ALiu8RJwYyngxOcA,,❤TECHNO SUPPORT❤,4,0:04,1597516928285241,4420
Océane Tir,UCPkJyA9dUzkx_f53pxvBQBw,,PINK PARROTS SUPPORT 🌸🐤,4,0:04,1597516928386434,4522
cohen teschke,UCZdbj9bJDSJfH4l1O33VMvA,,i think they put dream and techno on the same team on purpose. nyway🐷❤️️,6,0:06,1597516928583110,6217
TheMinceCrapBuddies,UC48q4CKZtWCJj05C1HyfkeA,,TECHNO SUPPORT,6,0:06,1597516928583325,6217
jeuc,UCSrJhOkdN1c3GnGTdGeSsLQ,New member,❤ TECHNO SUPPORT ❤,6,0:06,1597516928897817,6531
spacie,UCaLZmOcmLX3Eu3b3vNskjyQ,,POGGERS,7,0:07,1597516929416194,7050
se7en,UCzWF8LYLvVK3wUOe2XJCIWQ,Member (3 months),:_TechnoStare:what is dis emote,7,0:07,1597516929431823,7065
First Sympton,UCa305YdIJUreACCUhlPV11Q,,❤ TECHNO SUPPORT ❤,7,0:07,1597516929626424,7260
May,UCJ-B8TdVubINkAnTzYq32ig,,dream streaming as well,7,0:07,1597516929717504,7351
Jare Bear,UCWoJVcJNsJ_YRxHqC3J15YQ,New member,BLOOD FOR THE BLOOD GOD,7,0:07,1597516929868870,7502
bcsolo,UCfKNmmE6z8atP5ZL3w0XMDQ,,STREAM STARTING,7,0:07,1597516930015379,7649
Brix Fountain,UCA9ix6wGwbhZdPnIkDkWfng,,Techno blade,7,0:07,1597516930199142,7833
Ђорђе Ивановић,UCWyzqYlwTltaqDK6mrzUiGQ,,TECHNOSUPPORT,7,0:07,1597516930342714,7976
Rose,UCxj44V324tWH7e4cH9VRFGw,,ok we all know who is going to win,7,0:07,1597516930359543,7993
Don't Sub To Me I am Useless,UCtA8-GWaMilSEAWZGtY_5_g,,unpopular opinion,9,0:09,1597516931114143,9801
Onion Picker,UCH20mBeeR7C-pFHnsgf-RiA,,Shrek,10,0:10,1597516931327344,10014
Lubna Alhakeem,UCjyEWBzegYgWaQBm9w2cF6Q,,i think the team will win,10,0:10,1597516931459358,10146
That_Anime189,UCfi0PX3E3p58NkUlIpRC2JQ,,❤️💗TECHNOSUPPORT💗❤️,10,0:10,1597516931824243,10511
David Utzinger,UCiprVSaATSpbX2t7_KGllWA,,techno will win,11,0:11,1597516932829713,11498
Calin Mihai Chiperi,UCJ05-IH1TPL_i0cwzwm2TrA,,❤️ TECHNOSUPPORT ❤️,11,0:11,1597516933267969,11937
Invisible,UConRaKo1obOLvqwKtippZiA,,POGGERS,12,0:12,1597516934023008,12692
Zero Gero,UCNkhI0niDpZVuuFyKRijxrw,,🐖,12,0:12,1597516934095310,12764
