amount,author,author_id,badges,body_color,header_color,message,ticker_duration,time_in_seconds,time_text,timestamp,video_offset_time_msec
,King Nautulus,UCPCE0f3ZfYCkV3gYA37PTpw,,,,TECHNOLATE,,100,1:40,1597517021449528,100120
,thebrandofepicness,UC-wZvbFobmhZkBP5AnAQFMQ,,,,LATE,,100,1:40,1597517021717405,100388
$19.99,Auitshrieks Gaming,UCIv-yfJuWbzWncJmN6z6UzA,,"{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}","{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}",I LOVE YOU TECHNO UR BETTER THAN DREAM,,100,1:40,1597517021842470,100513
$19.99,Auitshrieks Gaming,UCIv-yfJuWbzWncJmN6z6UzA,,"{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}","{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}",I LOVE YOU TECHNO UR BETTER THAN DREAM,600,100,1:40,1597517021842470,100513
,DrakoVenturi,UCBrluDUTkKa-JKqZVUqDpEQ,,,,LATE,,100,1:40,1597517021941223,100611
,P##P mast3r,UCMxEXf6yw56X-KmN1LBb7kg,,,,Very earlate,,100,1:40,1597517022023888,100694
,Statue/ /IHaveDiscord,UCEzrEQ-ZBTDIUJzwkmlqg8w,,,,hello,,100,1:40,1597517022233492,100904
,Catpotato,UChznPfC0gICN7h2H-SI6eyw,,,,TECHNICALLY LATE,,100,1:40,1597517022307943,100978
,Karma,UC3Ge8oUHx0NT6R-YtcSnVFQ,,,,LATEEEEEEE,,101,1:41,1597517022374521,101045
,M8 1091,UCz_XisVJa_MVXWGC3jA8yqA,,,,early,,101,1:41,1597517022655407,101345
,Axolol,UCpGrjSrf33D-A5JMiX-OjNg,,,,reee I'm late,,101,1:41,1597517022687565,101377
$2.00,TheOrenjiPotato,UCMjIcNYR8XYshDObHRmYQVg,,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",hey techno ive been a member for 6 months,,101,1:41,1597517023547217,101861
,Kuo tian,UC3dtW8ktcQpLuvVSPvb6l0A,,,,❤ TECHNODREAM SUPPORT 💚,,101,1:41,1597517023227690,101918
,Cian Merluccio,UCcNTKIAP9PHN7H5oXyJocZA,,,,LATE,,101,1:41,1597517023244605,101935
,Joshua Williams,UCecHElVr73qaZ9gglglnSGw,,,,your so early your late,,102,1:42,1597517023315823,102006
,Nathan Strauch,UCusd5EZJoe4t65RHV1vcmjQ,,,,late,,102,1:42,1597517023325255,102015
,Ada Ji,UC0_LIisEDt1LViZNb2mL1vg,,,,LATE,,102,1:42,1597517023327984,102018
,Bleu Night,UCbmAw2D37jxaSQJgtDOGplQ,,,,BRUH,,102,1:42,1597517023444976,102135
,aqualeon_,UCL8xG5KA3Eza2WPZVuInvhQ,,,,the most overpowered team Techno + Dream,,102,1:42,1597517023830574,102521
,Conkerer,UCKsHxHA8u5fEm3ptI1eiqCA,,,,Late,,102,1:42,1597517023929098,102619
,Pat Liu,UCifaOI7p5z_upAgUghDHVXg,,,,late,,102,1:42,1597517023973592,102664
,Kody,UCFGRsL5d1fK2UjCXMdzlHyQ,,,,This should be interesting,,102,1:42,1597517024101832,102792
,Joyte,UCd9O1U2HhsgBx8z_gYc-thQ,,,,LATE,,102,1:42,1597517024163598,102854
,VLOH,UCvB_LOWJgAHKdbZ-LEHz6EA,,,,LATE 😕,,102,1:42,1597517024178075,102868
,Allison Nichole,UCEyKxvbOmmVFhgseYDXDq3g,,,,LATE,,102,1:42,1597517024189976,102880
$1.99,Infinite Edgy,UCaw4Ho7JdATTNauAJbjgbmA,,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",Mr beast is doing you VS dream for 10k dollars,,103,1:43,1597517024346069,103036
,Fre Mertens,UCi2q7i-hktpYhSca75FZcXw,,,,lat,,103,1:43,1597517024501909,103192
,Rafael Müller,UCZVNm_G4dL8svZ3NWL33KLQ,,,,l8,,103,1:43,1597517024520508,103210
,Pro Gamer Moves,UCOEcWjdCPrYaUZ8lm7mIL2g,,,,eyyyyy,,103,1:43,1597517024565145,103255
,mozz,UCU4faLEggxDdGRK97FVTF9w,,,,EARLY,,103,1:43,1597517024885121,103552
,Penguin R,UC6128kL1TVd55qJGcoP0d0Q,,,,Hi,,103,1:43,1597517025245659,103913
,Jujugger음매,UC3uHn0qazzH34PsyImzWY9Q,,,,hi,,104,1:44,1597517025390445,104057
,Amyk223,UC1YUaUMwptVqCTSgQZzjYZw,,,,late,,104,1:44,1597517025484971,104152
,Cardeo,UCaE7w9FQu__pQ7HQ4k4fMJg,,,,Late,,104,1:44,1597517025490146,104157
