author,author_id,badges,message,time_in_seconds,time_text,timestamp,video_offset_time_msec
Zachary Schmitz,UCGFBmvTiqlFqdd6R0GmFqKQ,,Dream,0,-0:00,1598724011094885,0
IOEI Chris254,UCZY-QxzMkxjKjQ6nM-v15rQ,,💚💚💚💚💚💚💚💚💚,0,-0:00,1598724011293850,0
Blackfox Gaming,UC1oRhXa2_2TS9Tvio5aI8tw,,dream is da best,0,-0:00,1598724011346550,0
Bella,UCdyfpjYtSYUnNNzle_HOvGw,,❤️ TECHNOSUPPORT ❤️,0,-0:00,1598724011373075,0
Jont'e Ollivierre,UC3P2rirzRtqWZirVD0XHv_g,,dream,0,-0:00,1598724011992073,0
ThatOne MobileGamer,UChP1hGorcNJYIs_555sBTnA,,Dream❤️❤️❤️,0,0:00,1598724132960660,90
HAHA NOT FUNNY,UCoa7gv1txiTF3ueo5P9vhHg,,dream team,0,0:00,1598724133044200,174
germ s,UC73pZ7R0CQAHjmbm60qu0Eg,,#GODRAM,0,0:00,1598724133047670,177
Just Your Average Demigod,UCFjbDtwsTtXA1yWBHGUEPQQ,,COME ON DREAM LETS FRICKING GOOOOOOOOOOOOOO,0,0:00,1598724133049531,179
Anaya Gandhi,UCYopqBq4Xq2Ovqdq1fzNzYQ,,DREAM TEAM,0,0:00,1598724133245372,375
Subbing to people who sub to me,UCe_Pt1m8b83Hw6U4G7PalfQ,,@Coronavirus what’s up,0,0:00,1598724133328766,458
Ollie stow,UC-ta5xKZFFPOzg0Ov-C99yQ,,dream,0,0:00,1598724133488926,618
Liam Someone,UCypRwIwQids4rMqW1GJM9iQ,,DREAM WILL YEETUS TECHNOS FETUS,0,0:00,1598724133568764,698
TouchDown11,UCIYbLsHvYfEXg5DhClVPilQ,,'dream,0,0:00,1598724133606247,736
ONE NATION BAND,UC1Qo4czxzSwyel3y4_fQTBw,,1,0,0:00,1598724133708840,838
Cheetah Chat • 10 years ago,UCSM5GP-1ggktvXt4MFg74eg,,POGGGGG,0,0:00,1598724133773656,903
Marelly Ramirez Vargas,UCVBlWySFdMKXE95f7lXlPig,,💚💚Dream Team💚💚,0,0:00,1598724133796232,926
PeopleAreHumans,UCF0BFuvgA4erLHG1zQX7pcQ,,"10, 9",1,0:01,1598724133951998,1081
Garrett Huesgen-White,UC_TyrqBcvOc9Roz4kj8GcHg,,hi,1,0:01,1598724134003323,1133
Stefan Cepoi,UCkqYsHo9A6tSm5BJ83FGrlg,,💚DREAM💚💚💚💚💚💚💚💚💚,1,0:01,1598724134058314,1188
Samuel Thomison,UC1tmbPsT79WOSlQj59ZUgxg,,10,1,0:01,1598724134174083,1304
Deluxe_ GT,UC5RzsULPlimC2Su25lpjdnA,,dream #1,1,0:01,1598724134287365,1417
Katie Spiers,UCn4Nvers9Mvn0dt8dDVyafw,,DEAM DREAM DREAM,1,0:01,1598724134442828,1572
Max Gordon,UCJNXjBxsOdigJfnlewapwDw,,DREAM SUPPORT,1,0:01,1598724134795494,1925
Dylan Taljaard,UCQ69adg3qhF3b90QqyLtw8Q,,Dream🔥🔥,2,0:02,1598724135014457,2144
Crazy Life,UCg0sw8_2aZTztjADpSy4a4Q,,Techno,2,0:02,1598724135030049,2160
rareesemo,UCtPyDUlcr513TY2tO4hZSHQ,,POGGERS,2,0:02,1598724135047476,2177
Giulia NoLastName,UCUbXkXIRPgmuHksLrns8AtA,,DREAM TEAM 💚💚💚💚💚,2,0:02,1598724135179407,2309
Tommy Robertson,UCIqmUaoLJIytwwLgYoSfebg,,💚💚💚💚💚💚,2,0:02,1598724135313088,2443
JB’s LEGO Stop Motions,UCvXmgf-b9Xr0FTDnQgDwZfg,,Dream team,2,0:02,1598724135554043,2684
Juana Chay,UCMpWYXK6wlxZDIodjt6wiXA,,dream,2,0:02,1598724135627146,2757
denzy,UC8FywFE82_vvWGTL9yLt0rA,,1,2,0:02,1598724135707927,2837
totoman,UCPSTPgoL7mBmwogd85d60cQ,,14,2,0:02,1598724135862472,2992
NHL Kid,UCGE1XI4VoGhKjrBcIjyRj8A,,Dream,2,0:02,1598724135866927,2996
