amount,author,author_id,body_color,header_color,message,ticker_duration,time_in_seconds,time_text,timestamp,video_offset_time_msec
$5.00,Yvarg,UC5ExHb90dOqhRQF1m6k1D1g,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",,,0,-0:00,1600376423956979,0
$5.00,Yvarg,UC5ExHb90dOqhRQF1m6k1D1g,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",,120,0,-0:00,1600376423956979,0
$50.00,Guy Hartley,UC5yP85ST3Yb8gdtsejGmPXQ,"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}",,,2,0:02,1600376429367242,2577
$50.00,Guy Hartley,UC5yP85ST3Yb8gdtsejGmPXQ,"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}",,1800,2,0:02,1600376429367242,2577
€2.00,Dunzl,UC_OK3Wr2wLLfwz61AF5sXGA,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",it aint much but its an honest donation,,3,0:03,1600376446166778,3254
$5.00,Plastic Paizuri,UCNF6yvPmyuwy1KoJYOX1vTA,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","TINY SHARK, BIG LOVE! You help make a long day more bearable, Guwa. Can I get a CHOMP for the chumbuds?",,9,0:09,1600376507887439,9587
$5.00,Plastic Paizuri,UCNF6yvPmyuwy1KoJYOX1vTA,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}","TINY SHARK, BIG LOVE! You help make a long day more bearable, Guwa. Can I get a CHOMP for the chumbuds?",120,9,0:09,1600376507887439,9587
$50.00,knowsuchpeace,UCwG13NcNSUw7hqvvqUoVVWA,"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}",a,,9,0:09,1600376445820134,9930
$50.00,knowsuchpeace,UCwG13NcNSUw7hqvvqUoVVWA,"{'rgba': [233, 30, 99, 255], 'hex': '#e91e63ff'}","{'rgba': [194, 24, 91, 255], 'hex': '#c2185bff'}",a,1800,9,0:09,1600376445820134,9930
$5.00,Synthshell,UCDeYwBUpyB6wxBQd4BldHwQ,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",congrats on 300k!!!!😄,,10,0:10,1600376476845374,10603
$5.00,Synthshell,UCDeYwBUpyB6wxBQd4BldHwQ,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",congrats on 300k!!!!😄,120,10,0:10,1600376476845374,10603
$5.00,PhantomFlynn,UCRyYMwkA00-VBqNuVsIw5Fg,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",Shaaak!!! Congrats on 300k!,,12,0:12,1600376439047318,12224
$5.00,PhantomFlynn,UCRyYMwkA00-VBqNuVsIw5Fg,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",Shaaak!!! Congrats on 300k!,120,12,0:12,1600376439047318,12224
$0.99,Caleb Butler,UCm8eO98UJ3ZMJKpyKqNAfhA,"{'rgba': [30, 136, 229, 255], 'hex': '#1e88e5ff'}","{'rgba': [21, 101, 192, 255], 'hex': '#1565c0ff'}",,,13,0:13,1600376440175884,13444
$10.00,Astral,UCPcvXYxB3OlglGFMPiN6ZQA,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",a,,14,0:14,1600376451838156,14372
$10.00,Astral,UCPcvXYxB3OlglGFMPiN6ZQA,"{'rgba': [255, 202, 40, 255], 'hex': '#ffca28ff'}","{'rgba': [255, 179, 0, 255], 'hex': '#ffb300ff'}",a,300,14,0:14,1600376451838156,14372
¥500,HAL,UC4tmgA_czQPmvzoAmPUv2Ag,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",a,,16,0:16,1600376455079811,16831
¥500,HAL,UC4tmgA_czQPmvzoAmPUv2Ag,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",a,120,16,0:16,1600376455079811,16831
$2.00,Jeffrey K.,UCQXLlnF7bLmcEwXehENMupg,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",🦈,,17,0:17,1600376456903177,17649
$25.00,Smallboss,UCcC1AL0kQrmzew64iap3LBw,"{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}","{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}",a,,17,0:17,1600376454930080,17927
$25.00,Smallboss,UCcC1AL0kQrmzew64iap3LBw,"{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}","{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}",a,600,17,0:17,1600376454930080,17927
¥500,shinchan,UCQyj-cIN2tI7MDnHI7SVsDA,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",🦈収益化おめでとう！🦈,,20,0:20,1600376458561429,20458
¥500,shinchan,UCQyj-cIN2tI7MDnHI7SVsDA,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",🦈収益化おめでとう！🦈,120,20,0:20,1600376458561429,20458
CA$25.00,High-Fructose Corn Syrup,UCMflZKPWVR2gLI5SUMw1fnw,"{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}","{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}",a,,21,0:21,1600376456675998,21437
CA$25.00,High-Fructose Corn Syrup,UCMflZKPWVR2gLI5SUMw1fnw,"{'rgba': [245, 124, 0, 255], 'hex': '#f57c00ff'}","{'rgba': [230, 81, 0, 255], 'hex': '#e65100ff'}",a,600,21,0:21,1600376456675998,21437
