timestamp,time_text,time_in_seconds,author,message
1590865172190236,4:00:00,14400,glady beitia,:washhands:Lelys desde chiriqui
1590865172231443,4:00:00,14400,Ryan Gormican,Good Luck!
1590865172234432,4:00:00,14400,Monik Cespedes,monika Céspedes 🤗
1590865172450162,4:00:00,14400,Marycielo Lucar,22 minutes
1590865172599126,4:00:01,14401,Alex O Neill,Best of Luck from the O'Neill Family in Ireland!! ☘️☘️☘️
1590865172843800,4:00:01,14401,Woody Healey,Good luck to them
1590865173005740,4:00:01,14401,Gucci Boyz,:elbowcough:
1590865173096597,4:00:01,14401,andrey borges,Braaasil
1590865173273691,4:00:01,14401,Nathanael Urban,Mumbo For Mayor
1590865173379565,4:00:01,14401,Paulina Rangel,holaaa:yougotthis:
1590865173756471,4:00:02,14402,ImaBossIcanAFly,to po le fer america
1590865174100552,4:00:02,14402,-,/hidechat
1590865174440489,4:00:02,14402,Zigrith Valencia,iron maiden
1590865174502003,4:00:03,14403,Carlos Emilio Torres Munguia,hola
1590865174512430,4:00:03,14403,armas Rocha,hello
1590865174736729,4:00:03,14403,Juan Lorenzo,saludos desde panama
1590865174745272,4:00:03,14403,Matusha,Good luck!
1590865174827823,4:00:03,14403,Celestial,cute
1590865175189560,4:00:03,14403,GurDoc,расия
1590865175644278,4:00:04,14404,Manuel Roca,Space...the final frontier...
1590865175815775,4:00:04,14404,Peter Stofanik Stofanik,nazdar
1590865175914730,4:00:04,14404,Kea Gaming,YAYAY
1590865176132772,4:00:05,14405,Pseudonayme 77,Meatball metaphors ftw 😄
1590865176192530,4:00:05,14405,Ramces Dominguez,Holaaaaaaa
1590865176501786,4:00:06,14406,James,Did any one see the alien
1590865176719442,4:00:06,14406,Vinicius Andrade,Let's go 900 thousand live nasa channel.
1590865176733998,4:00:06,14406,فرزین نظری,عیک سلام
1590865177179131,4:00:06,14406,Bodhi,Good luck
1590865177395925,4:00:07,14407,henarsmm henarsmm,Good luck
1590865177481912,4:00:07,14407,منوعات trss,STAY SAFE
1590865177835857,4:00:07,14407,yasmine dhania,Goodluck frm malaysia!
1590865177980306,4:00:07,14407,Sonia Zint,the dog in the pic is so cute
1590865178286953,4:00:07,14407,Piotrmal,/gameode creative
1590865178679478,4:00:08,14408,Katie Mousley,hello
1590865178723466,4:00:08,14408,victor danzazs,#GOLOUD💚
1590865178773014,4:00:08,14408,Math Addict,SOUTH POLE SO THAT I CAN PUT INDIA ⛳ FLAG
1590865178922830,4:00:08,14408,TechBychet,"I'm from India, now, the time is 12:30 am feeling 😴 sleepy but excited"
1590865179008822,4:00:08,14408,rakolle 555,не взлетит.)))))))
1590865179303040,4:00:08,14408,Eric M,God bless these astronauts.
1590865179535709,4:00:09,14409,Ya Yeet,:stayhome:
1590865179551823,4:00:09,14409,Dianna Mehrabi,Godspeed 🙏🙏
1590865179600671,4:00:09,14409,Daniela Hernandez,im nervus!!
1590865179774929,4:00:09,14409,Nicole Nayoung Chang,:yougotthis:
1590865179835416,4:00:09,14409,Lori Witzel,25 minutes
1590865180169991,4:00:09,14409,Damian K 15,siemw
1590865180193199,4:00:09,14409,محمد العاشوري,good
1590865180354240,4:00:09,14409,miguelbarriobero,AURONPLAY GUAPOOOOOOOOOOOOOOOO
1590865180412897,4:00:10,14410,Olivers Sīka,24 min
1590865180655229,4:00:10,14410,BLack Shark,Hello from Armenia
1590865180811281,4:00:10,14410,rugeshi,really hope its success
1590865180842818,4:00:10,14410,Ibaadat’s Art,Cool
1590865181038629,4:00:10,14410,Adrian Goldsbrough,When's Tom Cruise doing this?
1590865181240934,4:00:10,14410,Drew Fox,"I am sith, I'll be in the Dark Side."
1590865181266134,4:00:10,14410,Carlos Henriquez,Saludos desde Las Islas canarias
1590865181529908,4:00:11,14411,Aleksander Zych,cat
1590865181707300,4:00:11,14411,JOSE ANTONIO MARTINEZ RAMIREZ,Exito en el lanzamiento!!!!!
1590865181872051,4:00:11,14411,Самсон Мурадян,Поехали!
1590865181889633,4:00:11,14411,Blanca Maldonado,Is president Trump there to see the launch?
1590865181918460,4:00:11,14411,K S,Go for launch!
1590865181986685,4:00:11,14411,михаил гринчий,мама я в телевизоре 😋😊😁
1590865182007218,4:00:11,14411,Kezza Rose,Good Luck BOB & DOUG 🚀☺🚀☺
1590865184386217,4:00:11,14411,brisa Nielsen,Alguien me dice el motivo por el que van?
1590865184438367,4:00:12,14412,system 32,How long to launch
1590865184637538,4:00:12,14412,Begüm Çalışkan,✌🏼
1590865184754397,4:00:12,14412,Maiky,alo
1590865184925227,4:00:12,14412,Anshu Bhat,whats goin on
1590865185056626,4:00:12,14412,marie gormley,edge of my seat
1590865185471756,4:00:13,14413,Trina LovesQQPlus1745,"882,000+ watching!! 😁"
1590865185509704,4:00:13,14413,Ivan Akimenko,good luck!
1590865185660244,4:00:13,14413,Николай Пиковский,30 мин до запуска
1590865185873227,4:00:13,14413,John Jumper,all this Tahira stuff is silly
1590865186258512,4:00:13,14413,Catalin Ilinca,:goodvibes:
1590865186387001,4:00:13,14413,Lucas Miguel,Brasil
1590865186408095,4:00:13,14413,JERSON Reyes,Colombia
1590865186506977,4:00:14,14414,DAVE DOWN,hello from Cornwall in the united kingdom
1590865186651284,4:00:14,14414,Cj_Dj325,where elon at
1590865187083804,4:00:14,14414,Money Capo,:videocall:
1590865187213915,4:00:14,14414,yakohere,is it going to the moon
1590865187624093,4:00:15,14415,colorshoes_ Rene Vargas,why
1590865187637344,4:00:15,14415,Enterprise,Они ещё не полетели?
1590865187649817,4:00:15,14415,Gracie Ray,New era in... less than 25 MINUTES!!!
1590865187682279,4:00:15,14415,jan kollar,good luck
1590865188099976,4:00:15,14415,Tipsy,llllllllllllllllllllleeeeeeeeeeeeeeeeeeeeeettttttttttttttttttttttttssssssssssssssssssssssssss gggggggggggggggggoooooooooooooooooooooo
1590865188257831,4:00:16,14416,électroluminescente IbrideLight,love :goodvibes::goodvibes::goodvibes::goodvibes:
1590865188304796,4:00:16,14416,Knowledge Beast,Congrats
1590865188915707,4:00:17,14417,Bruno Carlos Caetano Santos,#FORABOLSONARO
1590865189369953,4:00:18,14418,Damian Scott,nice
1590865189590306,4:00:18,14418,Pablo BS,:goodvibes:
1590865189792266,4:00:18,14418,Cynamonówka,hello Poland
1590865190032769,4:00:18,14418,Kendal Leonard,wow
1590865190181311,4:00:18,14418,Luma Andrade,I hope today them can travel
1590865190894667,4:00:19,14419,cesar aguilar,grettings from MEXICO
1590865190921031,4:00:19,14419,Bharat Sharma,good luck
1590865190928778,4:00:19,14419,Никто Никто,Россия Вперде!
1590865190974109,4:00:19,14419,bob bab,siema jd
1590865190992253,4:00:19,14419,Rafael Busses Delgado,escudos Boing y suerte
1590865191021271,4:00:19,14419,Odyssey Flyer,Hopi!
1590865191763280,4:00:20,14420,Victor,what time is the launch
1590865191938902,4:00:20,14420,Matheus Souza,Cadê ???
1590865191952015,4:00:20,14420,reza hoseini,چي شد حالا
1590865192277966,4:00:20,14420,Strékeur,hello
1590865192392645,4:00:21,14421,Poopie pants,THOSE WOMEN ARE JUST THERE FOR POLITICAL CORRECTNESS LOL
1590865192423995,4:00:21,14421,João Victor,good luck
1590865192458643,4:00:21,14421,Louise,woo hoo!! 🚀
1590865192689290,4:00:22,14422,Sheila Castro,oi
1590865192926900,4:00:22,14422,OnE sHot,USA
1590865193075501,4:00:22,14422,JON MARTINEZ DE RITUERTO CASTILLO,heyy
1590865193130308,4:00:22,14422,BuddyDaFun,:buffering::buffering::buffering:
1590865193604564,4:00:23,14423,jay law,good luck
1590865193637509,4:00:23,14423,Daniifm,aguante ARGENTINA💪😎
1590865193643974,4:00:23,14423,Lillie fun tv,has it lo
1590865193887164,4:00:23,14423,Snayper Gamer,que é do Brasil fala BOMMM
1590865194393730,4:00:23,14423,ネ-ΛИǤ_SнεяcΚø-ネ,EST CE QUE IL Y A DES FRANCAIS ?XD
1590865194406251,4:00:23,14423,giveme reason,рогозин вперед
1590865194866335,4:00:24,14424,꧁Maria .R꧂,Hello :socialdist:
1590865195248855,4:00:24,14424,Jogufe,Countdown?
1590865195310283,4:00:24,14424,wetdownunder,If you want to see the flag on the moon. It's in studio 52
1590865195327615,4:00:24,14424,Ebz K,No wonder the fortnite event got delayed
1590865195503969,4:00:24,14424,ayat AX,ناسا می خوامت
1590865195854309,4:00:25,14425,Daniel Gvozdovič,Vilnius
1590865195887049,4:00:25,14425,Stavros Vlachoyannis,GOD SPEED! STAVROS VLACHOYANNIS ATHENS-NEW YORK
1590865196106799,4:00:25,14425,Pushan Pore,India
1590865196109272,4:00:25,14425,ivan salcedo,this is history people:elbowcough::yt::socialdist::washhands:
1590865196470120,4:00:26,14426,Tri Duc Tran,apollo 11 Apollo 11
1590865196479362,4:00:26,14426,Manuel Espinoza,Good luck.🤗🏆🚀🚀🚀🚀🚀
1590865196606571,4:00:26,14426,MONICA GALEANO,wow
1590865196707153,4:00:26,14426,simran nischal,all d best guys
1590865196737106,4:00:26,14426,Podlaski,Good luck and greetings from Poland
1590865196741570,4:00:26,14426,Marathi graphics design,good luck
1590865196818640,4:00:26,14426,Capta Crunch,GOD BLESS US ALL! GOD BLESS THIS CREW! GOD BLESS EVERYONE AROUND THE WORLD!
1590865196852929,4:00:26,14426,Ugur eren,Herbalife
1590865197456743,4:00:27,14427,Adam Balcomb,I wonder what flat earthers will make of this lol
1590865197479988,4:00:27,14427,Koyaxs,🥇🥇🥇🥇
1590865198044866,4:00:27,14427,DeanWinchester,i love history. but you chose an alien base site (lol) so it wld have to be south pole for me. otherwise apollo 11 site 9 out of 10
1590865198046979,4:00:27,14427,Jelena Noquez,hi ayden
1590865198110793,4:00:27,14427,Veronica CD,hola
1590865198354147,4:00:28,14428,lucas nunes,bora baeeeeeeea
1590865198422727,4:00:28,14428,Ag Bo,Go NASA!
1590865198879877,4:00:28,14428,Vin _,YIKES
1590865199139731,4:00:28,14428,Michel Alves Games,this is epic
1590865199258251,4:00:29,14429,Aurora Waxwing,good job everyone at space x and NASA
1590865199477055,4:00:29,14429,Giovanna Mesquita,PALMEIRAS NÃO TEM MUNDIAL
1590865199579246,4:00:29,14429,Hamilton Trevor,good luck guys
1590865199817624,4:00:29,14429,Daniel Téllez,COME ONNN
1590865199910970,4:00:29,14429,Alex Shaw,👍🏻
1590865199916236,4:00:29,14429,Syed Haider Abbas Zaidi,Good luck from india
1590865200062547,4:00:29,14429,Alicia Alicia,:elbowcough::elbowcough::elbowcough:
1590865200195645,4:00:30,14430,K Suzuki,成功を、祈ります。
1590865200349727,4:00:30,14430,navid torabi,کی پرتاب میشه؟
1590865203027219,4:00:32,14432,FRANCO DC,APOLLO 11
1590865203108863,4:00:32,14432,myszo zebra,.
1590865203144587,4:00:32,14432,youna,il décolle quand ?
1590865203181507,4:00:32,14432,Jan Hötker,K
1590865203298519,4:00:32,14432,KennyDres,top model
1590865203334906,4:00:32,14432,Yasser Awad,I can hear her jacket
1590865203344467,4:00:32,14432,CG,DraGOON
1590865203466134,4:00:32,14432,Imperial Vintage Guitars,stratocaster
1590865203655093,4:00:32,14432,Austin Mulcahy,yay
1590865203685587,4:00:32,14432,aljacks2,Just launch
1590865203695165,4:00:32,14432,Iwan,from Indonesian
1590865203771885,4:00:32,14432,Leyla Loudin,Yo
1590865203999146,4:00:33,14433,onigo,GOOOOO FOR LAUNCH! CEILING GANG!
1590865204069413,4:00:33,14433,Heather Bellows,idk
1590865204293031,4:00:33,14433,Ceez B,good luck safe voyage!!
1590865204428281,4:00:33,14433,로라 [Laura],할수있어:virtualhug:
1590865204449529,4:00:33,14433,준영,hi
1590865204786546,4:00:33,14433,Chris Fouad,epic
1590865204848885,4:00:33,14433,RAKESH INJARAPU,best of luck guys
1590865205077466,4:00:34,14434,Captain Aizenka,ВОЛЬНОВ ЗДАРОВА
1590865205129189,4:00:34,14434,BHG TR,How many minutes left??
1590865205184241,4:00:34,14434,vintagegirl1961,GOOD LUCK AND GOD BLESS!!!!!! <3!
1590865205217493,4:00:34,14434,Ismail Ali,advancement for civilisation
1590865205282498,4:00:34,14434,Linoleum,Spread Positivity!
1590865205583093,4:00:34,14434,Morgan,yo she cute af
1590865205597436,4:00:34,14434,The Man Behind The Slaughter,Bob
1590865205791406,4:00:34,14434,T20BLAZE07,#SpaceLaunchLIVE god speed
1590865205871912,4:00:34,14434,Vincent Qiu,22mins left
1590865205937266,4:00:35,14435,Valeriya St.,УДАЧИ ИЗ РОССИИ!!!
1590865206048130,4:00:35,14435,foo bar,Go Humanity go
1590865206110739,4:00:35,14435,Yahel Cavaller,a q hora sale
1590865206802680,4:00:36,14436,Harvey Plett,kieon james heyyyy
1590865206917721,4:00:36,14436,Quinho alegria,oh Glória
1590865206972585,4:00:36,14436,MasterKamikaze 666,éxitos
1590865207315123,4:00:36,14436,Neisy Alvarez,apollo 11 spot 🤗
1590865207503415,4:00:36,14436,Welton Martins,boom
